Espécies;Sepal length (cm);Sepal width (cm);Petal length (cm);Petal width (cm);Amostra;Site;Latitude;Longitude;Data;NomePDF
Iris versicolor;7;3.2;4.7;1.4;A51;Site1;48.935966;-64.840984;01/12/1929;A51
Iris versicolor;6.9;3.1;4.9;1.5;A53;Site2;48.540502;-64.766512;13/02/1930;A68
Iris versicolor;5.5;2.3;4;1.3;A54;Site1;48.935966;-64.840984;01/12/1929;A52
Iris versicolor;5.7;2.8;4.5;1.3;A56;Site2;48.540502;-64.766512;13/02/1930;A69
Iris versicolor;6.3;3.3;4.7;1.6;A57;Site1;48.935966;-64.840984;01/12/1929;A53
Iris versicolor;6.6;2.9;4.6;1.3;A59;Site2;48.540502;-64.766512;13/02/1930;A70
Iris versicolor;5.2;2.7;3.9;1.4;A60;Site1;48.935966;-64.840984;01/12/1929;A54
Iris versicolor;5.9;3;4.2;1.5;A62;Site2;48.540502;-64.766512;13/02/1930;A71
Iris versicolor;6;2.2;4;1;A63;Site1;48.935966;-64.840984;01/12/1929;A55
Iris versicolor;5.6;2.9;3.6;1.3;A65;Site2;48.540502;-64.766512;13/02/1930;A72
Iris versicolor;6.7;3.1;4.4;1.4;A66;Site1;48.935966;-64.840984;01/12/1929;A56
Iris versicolor;5.8;2.7;4.1;1;A68;Site2;48.540502;-64.766512;13/02/1930;A73
Iris versicolor;6.2;2.2;4.5;1.5;A69;Site1;48.935966;-64.840984;01/12/1929;A57
Iris versicolor;5.9;3.2;4.8;1.8;A71;Site2;48.540502;-64.766512;13/02/1930;A74
Iris versicolor;6.1;2.8;4;1.3;A72;Site1;48.935966;-64.840984;01/12/1929;A58
Iris versicolor;6.1;2.8;4.7;1.2;A74;Site2;48.540502;-64.766512;13/02/1930;A75
Iris versicolor;6.4;2.9;4.3;1.3;A75;Site1;48.935966;-64.840984;01/12/1929;A59
Iris versicolor;6.7;3;5;1.7;A78;Site1;48.935966;-64.840984;01/12/1929;A60
Iris versicolor;5.5;2.4;3.8;1.1;A81;Site1;48.935966;-64.840984;01/12/1929;A61
Iris versicolor;6;2.7;5.1;1.6;A84;Site1;48.935966;-64.840984;01/12/1929;A62
Iris versicolor;6.7;3.1;4.7;1.5;A87;Site1;48.935966;-64.840984;01/12/1929;A63
Iris versicolor;5.5;2.5;4;1.3;A90;Site1;48.935966;-64.840984;01/12/1929;A64
Iris versicolor;5.8;2.6;4;1.2;A93;Site1;48.935966;-64.840984;01/12/1929;A65
Iris versicolor;5.7;3;4.2;1.2;A96;Site1;48.935966;-64.840984;01/12/1929;A66
Iris versicolor;5.1;2.5;3;1.1;A99;Site1;48.935966;-64.840984;01/12/1929;A67
